Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
12/30/2019,7385.36,15446347.04,46435451,0.35589309,2.5,-0.022444404
12/31/2019,7219.6,13152944.22,61748083.66,0.364281407,3.25,-0.007104272
1/1/2020,7168.31,15907075.79,47782090.7,0.285058111,2.633333333,0.001028136
1/2/2020,7175.68,12576131.22,28600968.86,0.330064666,2.466666667,-0.032240847
1/3/2020,6944.33,15705586.47,68282971.9,0.37500016,3.216666667,0.055011787
1/4/2020,7326.35,15650931.39,136870284.6,0.313628594,2.683333333,0.002940072
1/5/2020,7347.89,15404396.62,50181826.92,0.307037814,4.35,0.000500824
1/6/2020,7351.57,13051403.08,48177558.29,0.511697139,3.583333333,0.055453461
1/7/2020,7759.24,17646229.3,114010548.1,0.587239085,3.566666667,0.052354354
1/8/2020,8165.47,14890476.72,210649283.9,0.797559971,3.583333333,-0.015041388
1/9/2020,8042.65,15730239.71,224003807.4,0.729342052,2.75,-0.027942283
1/10/2020,7817.92,15541380.57,108323770.5,0.783040697,3.5,0.046910176
1/11/2020,8184.66,16893865.39,153599795.4,0.483337446,3.333333333,-0.019936076
1/12/2020,8021.49,15625350.67,75103205.5,0.415532439,2.383333333,0.019008937
1/13/2020,8173.97,14633330.08,39375157.85,0.489927302,3.683333333,-0.008408399
